Gender,Married,Dependents,Education,Employment Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,Salaried,33354,14135,636349,240,1,Semiurban,N
Female,Yes,0,Graduate,Self-Employed,37190,24164,131257,300,1,Semiurban,Y
Male,Yes,2,Graduate,Salaried,21142,24710,111753,300,0,Semiurban,N
Male,No,2,Graduate,Self-Employed,43398,38467,454303,120,1,Semiurban,Y
Male,No,2,Graduate,Self-Employed,66971,27601,474032,120,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,56862,25127,73408,180,1,Semiurban,Y
Male,No,1,Graduate,Unemployed,113668,9967,174116,120,1,Semiurban,Y
Female,No,2,Graduate,Unemployed,68410,33482,705496,180,0,Urban,N
Male,No,0,Graduate,Self-Employed,34503,48896,67413,360,0,Semiurban,N
Male,No,0,Not Graduate,Unemployed,63456,48410,687938,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,Unemployed,115167,51956,109500,120,1,Semiurban,Y
Female,Yes,3+,Graduate,Salaried,97035,24710,106358,360,0,Urban,Y
Female,No,3+,Not Graduate,Salaried,23016,12812,116197,120,0,Semiurban,N
Male,No,0,Graduate,Salaried,17384,45695,543992,180,1,Urban,Y
Male,Yes,1,Graduate,Salaried,77320,0,798149,240,1,Semiurban,Y
Male,Yes,3+,Graduate,Salaried,30072,29729,273492,300,1,Rural,Y
Male,Yes,0,Graduate,Salaried,117239,10722,476070,120,0,Semiurban,Y
Male,No,1,Not Graduate,Unemployed,95018,20514,126240,180,1,Urban,Y
Male,No,3+,Graduate,Salaried,55510,7176,285595,360,1,Semiurban,N
Male,Yes,0,Not Graduate,Unemployed,63933,6105,572710,120,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,36826,22076,795423,120,1,Rural,Y
Male,Yes,0,Not Graduate,Unemployed,83026,28816,328466,300,1,Semiurban,Y
Male,No,3+,Graduate,Unemployed,40518,50607,56968,180,1,Semiurban,Y
Male,No,3+,Graduate,Self-Employed,39045,38467,339662,240,1,Semiurban,Y
Male,No,3+,Graduate,Salaried,65876,10722,240920,360,1,Urban,Y
Female,Yes,0,Graduate,Self-Employed,107446,10722,313844,180,1,Urban,Y
Male,Yes,2,Graduate,Salaried,105102,46045,282076,360,1,Semiurban,Y
Male,Yes,2,Graduate,Unemployed,66919,29729,73199,120,1,Semiurban,Y
Male,Yes,0,Not Graduate,Self-Employed,114441,17297,487805,300,0,Semiurban,N
Male,No,2,Graduate,Unemployed,42103,50740,213187,300,1,Urban,Y
